Gender,Age,Department,Department_code,Years_exp,Tenure (months),Gross
0,25,Tech,7,2.333333333333334,7,74922
1,26,Operations,3,2.666666666666666,6,44375
0,24,Operations,3,2.0,8,82263
0,26,Operations,3,2.666666666666666,6,44375
0,29,Engineering,0,3.666666666666666,25,235405
0,32,Other,4,4.666666666666666,8,87300
1,27,Operations,3,3.0,6,44375
0,24,Operations,3,2.0,6,44375
0,24,Other,4,2.0,8,96995
1,24,Operations,3,2.0,6,44375
1,27,Other,4,3.0,9,99552
0,25,Operations,3,2.333333333333334,6,44375
0,26,Other,4,2.666666666666666,8,68880
1,29,Other,4,3.666666666666666,8,212250
0,27,Other,4,3.0,8,77795
0,33,Other,4,5.0,8,175533
1,31,Other,4,4.333333333333334,8,96367
0,31,Tech,7,4.333333333333334,8,162667
0,25,Tech,7,2.333333333333334,8,106933
1,24,Other,4,2.0,8,70417
0,27,Tech,7,3.0,8,199333
1,28,Tech,7,3.333333333333334,8,167600
0,34,Engineering,0,5.333333333333334,8,249933
0,36,Engineering,0,6.0,8,162667
0,25,Engineering,0,2.333333333333334,8,123967
0,32,Tech,7,4.666666666666666,8,195114
0,38,Other,4,6.666666666666666,8,264109
0,31,Other,4,4.333333333333334,8,111591
0,39,Finance,1,7.0,8,252348
1,26,Other,4,2.666666666666666,8,105552
0,37,Sales,6,6.333333333333334,8,175533
0,26,Operations,3,2.666666666666666,8,80132
1,25,Other,4,2.333333333333334,8,65856
0,29,Operations,3,3.666666666666666,8,101334
0,28,Operations,3,3.333333333333334,8,95094
1,24,Media,2,2.0,8,112067
0,38,Engineering,0,6.666666666666666,8,445267
0,28,Operations,3,3.333333333333334,8,97094
0,32,Tech,7,4.666666666666666,8,145680
1,23,Other,4,1.666666666666667,8,122200
0,29,Tech,7,3.666666666666666,8,215200
0,26,Media,2,2.666666666666666,8,170600
0,29,Other,4,3.666666666666666,8,195114
0,29,Other,4,3.666666666666666,7,119552
0,29,Tech,7,3.666666666666666,7,216267
0,26,Media,2,2.666666666666666,7,123000
0,29,Engineering,0,3.666666666666666,7,202333
0,28,Engineering,0,3.333333333333334,7,183467
0,32,Other,4,4.666666666666666,7,181202
0,30,Other,4,4.0,7,202333
1,26,Other,4,2.666666666666666,7,93185
0,31,Media,2,4.333333333333334,7,194400
0,30,Other,4,4.0,7,115286
1,26,Other,4,2.666666666666666,7,111591
1,27,Other,4,3.0,7,151337
0,25,Tech,7,2.333333333333334,7,136725
0,31,Tech,7,4.333333333333334,7,258917
0,35,Other,4,5.666666666666666,7,286487
1,27,Other,4,3.0,7,112067
0,28,Tech,7,3.333333333333334,7,125795
1,27,Operations,3,3.0,7,88267
1,28,Engineering,0,3.333333333333334,7,249200
1,26,Media,2,2.666666666666666,7,363633
0,29,Tech,7,3.666666666666666,6,445075
0,31,Tech,7,4.333333333333334,7,105705
0,28,Other,4,3.333333333333334,6,242948
0,35,Other,4,5.666666666666666,7,263636
1,34,Tech,7,5.333333333333334,6,187213
0,27,Other,4,3.0,6,215363
0,27,Other,4,3.0,6,76330
1,38,Other,4,6.666666666666666,6,249344
0,29,Tech,7,3.666666666666666,6,418587
0,30,Other,4,4.0,6,143988
0,33,Other,4,5.0,6,297127
0,25,Other,4,2.333333333333334,6,120239
0,32,Other,4,4.666666666666666,6,299358
1,28,Sales,6,3.333333333333334,6,150035
1,28,Engineering,0,3.333333333333334,6,195785
1,23,Finance,1,1.666666666666667,6,92714
1,29,Tech,7,3.666666666666666,6,113126
0,32,Tech,7,4.666666666666666,6,232628
0,27,Tech,7,3.0,6,123287
1,29,Media,2,3.666666666666666,6,161500
0,24,Tech,7,2.0,6,122269
0,27,Tech,7,3.0,6,106605
1,26,Tech,7,2.666666666666666,6,84317
0,23,Other,4,1.666666666666667,6,60723
1,24,Other,4,2.0,6,60723
1,26,Product,5,2.666666666666666,6,154048
0,26,Other,4,2.666666666666666,6,60723
0,36,Product,5,6.0,6,333194
0,26,Other,4,2.666666666666666,6,69138
0,29,Tech,7,3.666666666666666,6,112738
0,35,Tech,7,5.666666666666666,6,156501
0,25,Other,4,2.333333333333334,6,44375
1,26,Other,4,2.666666666666666,6,44375
0,30,Other,4,4.0,6,71395
0,38,Other,4,6.666666666666666,8,253273
0,32,Finance,1,4.666666666666666,72,111947
0,25,Operations,3,2.333333333333334,12,256
0,31,Tech,7,4.333333333333334,44,3898
0,31,Tech,7,4.333333333333334,55,364137
0,32,Tech,7,4.666666666666666,20,239957
1,32,Sales,6,4.666666666666666,100,115843
1,40,Sales,6,7.333333333333334,32,31906
1,37,Other,4,6.333333333333334,89,298183
1,30,Finance,1,4.0,47,167190
0,28,Engineering,0,3.333333333333334,42,59556
1,32,Finance,1,4.666666666666666,14,118734
0,34,Other,4,5.333333333333334,41,274262
1,25,Other,4,2.333333333333334,37,699
0,33,Media,2,5.0,41,227364
0,30,Finance,1,4.0,61,107465
1,35,Tech,7,5.666666666666666,77,247721
0,33,Media,2,5.0,57,288597
0,32,Other,4,4.666666666666666,10,225117
1,33,Tech,7,5.0,11,198049
1,28,Tech,7,3.333333333333334,31,86609
0,34,Sales,6,5.333333333333334,25,133673
0,28,Media,2,3.333333333333334,70,105661
0,30,Product,5,4.0,49,148974
0,40,Media,2,7.333333333333334,24,303880
1,38,Other,4,6.666666666666666,75,124469
0,35,Other,4,5.666666666666666,74,301605
0,35,Tech,7,5.666666666666666,50,335149
0,32,Other,4,4.666666666666666,32,108623
0,33,Engineering,0,5.0,37,219167
0,30,Finance,1,4.0,36,100874
1,37,Other,4,6.333333333333334,78,143647
0,33,Other,4,5.0,75,167374
0,28,Tech,7,3.333333333333334,49,98453
0,31,Operations,3,4.333333333333334,79,203252
0,33,Media,2,5.0,61,239817
0,27,Other,4,3.0,49,146181
0,31,Tech,7,4.333333333333334,34,132569
0,36,Tech,7,6.0,40,203731
0,28,Tech,7,3.333333333333334,34,138934
0,39,Other,4,7.0,76,124896
0,37,Tech,7,6.333333333333334,58,215116
0,33,Media,2,5.0,55,265121
0,33,Tech,7,5.0,74,174189
0,35,Other,4,5.666666666666666,36,171928
0,38,Tech,7,6.666666666666666,78,312440
0,35,Engineering,0,5.666666666666666,73,278219
1,37,Finance,1,6.333333333333334,75,118803
0,40,Tech,7,7.333333333333334,76,268334
0,29,Other,4,3.666666666666666,56,155594
0,28,Other,4,3.333333333333334,8,163222
0,38,Engineering,0,6.666666666666666,77,320957
0,39,Other,4,7.0,74,379039
0,41,Other,4,7.666666666666666,58,237806
0,33,Engineering,0,5.0,37,251152
0,30,Tech,7,4.0,9,114591
0,33,Tech,7,5.0,65,107049
0,31,Other,4,4.333333333333334,33,182404
0,29,Product,5,3.666666666666666,40,152140
1,28,Engineering,0,3.333333333333334,11,116033
0,39,Media,2,7.0,78,268718
1,28,Other,4,3.333333333333334,33,71371
0,30,Tech,7,4.0,31,117700
0,31,Finance,1,4.333333333333334,60,110257
0,40,Other,4,7.333333333333334,73,175864
0,39,Other,4,7.0,74,144182
0,36,Other,4,6.0,61,139103
0,31,Engineering,0,4.333333333333334,75,318763
1,29,Other,4,3.666666666666666,31,96309
0,33,Engineering,0,5.0,58,237892
1,35,Other,4,5.666666666666666,76,254223
0,29,Finance,1,3.666666666666666,22,88729
0,33,Other,4,5.0,74,142057
0,37,Other,4,6.333333333333334,75,171423
0,28,Tech,7,3.333333333333334,38,106812
0,35,Other,4,5.666666666666666,43,233796
1,30,Operations,3,4.0,48,122200
1,32,Other,4,4.666666666666666,61,142850
0,31,Engineering,0,4.333333333333334,35,102611
0,28,Tech,7,3.333333333333334,49,97847
0,35,Tech,7,5.666666666666666,40,233541
0,31,Tech,7,4.333333333333334,79,243548
0,41,Other,4,7.666666666666666,77,170118
1,31,Other,4,4.333333333333334,10,111598
0,38,Media,2,6.666666666666666,76,370368
0,35,Other,4,5.666666666666666,77,143729
0,29,Operations,3,3.666666666666666,50,138272
0,31,Other,4,4.333333333333334,75,202840
0,36,Other,4,6.0,64,116839
0,28,Tech,7,3.333333333333334,32,115128
0,30,Engineering,0,4.0,23,200556
1,32,Tech,7,4.666666666666666,77,132061
0,31,Media,2,4.333333333333334,48,221544
0,31,Engineering,0,4.333333333333334,33,133636
0,30,Other,4,4.0,26,141230
1,33,Media,2,5.0,77,187720
1,30,Finance,1,4.0,75,119557
0,35,Sales,6,5.666666666666666,29,212250
0,34,Other,4,5.333333333333334,12,99871
1,37,Tech,7,6.333333333333334,62,224091
1,29,Media,2,3.666666666666666,79,127917
1,29,Operations,3,3.666666666666666,55,133337
0,33,Other,4,5.0,78,374912
1,29,Finance,1,3.666666666666666,25,99325
1,32,Finance,1,4.666666666666666,70,104000
0,37,Media,2,6.333333333333334,71,367155
1,32,Other,4,4.666666666666666,35,192799
0,35,Media,2,5.666666666666666,65,332960
0,36,Other,4,6.0,71,271871
0,29,Operations,3,3.666666666666666,74,172798
0,29,Other,4,3.666666666666666,21,149353
1,30,Other,4,4.0,75,162016
0,31,Other,4,4.333333333333334,77,236285
0,34,Tech,7,5.333333333333334,48,240900
0,35,Other,4,5.666666666666666,30,149228
1,29,Other,4,3.666666666666666,75,209297
1,31,Product,5,4.333333333333334,69,135063
1,33,Tech,7,5.0,67,218694
0,31,Other,4,4.333333333333334,52,114375
0,33,Media,2,5.0,71,277920
0,37,Other,4,6.333333333333334,85,120781
0,31,Other,4,4.333333333333334,70,209503
0,33,Product,5,5.0,92,203468
0,37,Tech,7,6.333333333333334,23,234061
0,29,Product,5,3.666666666666666,92,178533
0,33,Other,4,5.0,26,87890
0,32,Other,4,4.666666666666666,66,225519
0,29,Other,4,3.666666666666666,58,148573
0,28,Other,4,3.333333333333334,20,124559
0,32,Other,4,4.666666666666666,76,116201
0,29,Tech,7,3.666666666666666,41,110666
1,35,Other,4,5.666666666666666,90,313460
